dsp clock from the systime interface: 546045534479
sequence_number, timestamp(us), updated_timestamp(us), acc_x, acc_y, acc_z, ang_x, ang_y, ang_z, temperature_C
258042, 541201576, 546164693, -0.15, 0.15, -0.81, 0.30, -0.19, -0.02, 42.24
258043, 541203560, 546166677, 0.18, 0.80, 2.51, 0.46, -0.44, 0.03, 42.18
258044, 541205574, 546168691, 0.29, 0.61, -0.84, 0.12, -0.06, 0.05, 42.19
258045, 541207558, 546170675, 0.31, 0.38, 2.98, -0.12, 0.16, 0.04, 42.23
258046, 541209572, 546172689, 0.10, -0.44, 1.00, -0.23, 0.31, 0.01, 42.23
258047, 541211587, 546174704, -0.17, -0.84, 1.66, -0.13, 0.35, -0.03, 42.23
258048, 541213571, 546176688, -0.16, -0.43, 0.30, 0.22, -0.01, -0.04, 42.24
258049, 541215585, 546178702, 0.03, 0.21, -0.45, 0.38, -0.19, -0.03, 42.22
258050, 541217569, 546180686, -0.01, 0.76, 1.96, 0.44, -0.38, 0.02, 42.26
258051, 541219583, 546182700, 0.27, 0.70, -0.13, 0.01, 0.03, 0.03, 42.19
258052, 541221567, 546184684, 0.19, 0.16, 2.74, -0.20, 0.19, 0.03, 42.24
258053, 541223582, 546186699, 0.13, -0.67, 0.75, -0.18, 0.23, 0.01, 42.24
258054, 541225565, 546188682, -0.21, -0.78, 2.33, 0.01, 0.19, -0.01, 42.25
258055, 541227580, 546190697, -0.18, -0.22, -0.07, 0.24, -0.02, -0.02, 42.22
258056, 541229564, 546192681, 0.16, 0.47, -0.22, 0.41, -0.11, -0.01, 42.26
258057, 541231578, 546194695, -0.05, 0.73, 1.12, 0.40, -0.32, 0.02, 42.21
258058, 541233562, 546196679, 0.49, 0.74, 0.59, -0.03, 0.01, 0.00, 42.20
258059, 541235576, 546198693, 0.10, -0.01, 2.76, -0.29, 0.12, -0.01, 42.23
258060, 541237560, 546200677, 0.16, -0.77, 0.76, -0.17, 0.24, -0.01, 42.27
258061, 541239574, 546202691, -0.39, -0.80, 2.33, 0.09, 0.19, 0.00, 42.24
258062, 541241589, 546204706, -0.24, -0.26, -0.81, 0.26, 0.07, -0.00, 42.20
258063, 541243573, 546206690, 0.11, 0.72, 0.55, 0.41, -0.09, -0.01, 42.24
258064, 541245587, 546208704, 0.08, 0.64, 0.53, 0.32, -0.41, 0.01, 42.26
258065, 541247571, 546210688, 0.56, 0.73, 1.43, -0.02, -0.14, -0.01, 42.29
258066, 541249585, 546212702, 0.08, -0.07, 2.57, -0.25, 0.06, -0.01, 42.28
258067, 541251569, 546214686, 0.25, -0.77, 0.41, -0.15, 0.39, -0.01, 42.27
258068, 541253583, 546216700, -0.50, -0.84, 2.05, 0.09, 0.24, 0.01, 42.21
258069, 541255567, 546218684, -0.04, -0.16, -0.39, 0.26, 0.01, -0.00, 42.23
258070, 541257582, 546220699, 0.11, 0.69, -0.06, 0.29, -0.35, 0.02, 42.21
258071, 541259566, 546222683, 0.43, 0.64, 1.86, -0.00, -0.06, -0.01, 42.21
258072, 541261580, 546224697, 0.00, -0.12, 2.52, -0.24, 0.10, -0.04, 42.20
258073, 541263564, 546226681, 0.14, -0.86, 0.42, -0.21, 0.40, -0.04, 42.21
258074, 541265578, 546228695, -0.39, -0.83, 1.76, 0.09, 0.11, -0.01, 42.20
258075, 541267562, 546230679, 0.10, -0.19, -0.26, 0.34, -0.14, 0.01, 42.24
258076, 541269576, 546232693, -0.10, 0.89, 1.09, 0.41, -0.26, 0.05, 42.26
258077, 541271560, 546234677, 0.29, 0.94, -0.37, 0.26, -0.19, 0.06, 42.26
258078, 541273575, 546236692, 0.28, 0.55, 1.93, -0.02, 0.04, 0.01, 42.23
258079, 541275558, 546238675, 0.06, -0.29, 2.69, -0.27, 0.11, -0.04, 42.28
258080, 541277573, 546240690, 0.07, -0.96, 0.32, -0.27, 0.33, -0.07, 42.28
258081, 541279587, 546242704, -0.34, -0.90, 1.44, 0.12, -0.01, -0.03, 42.25
258082, 541281571, 546244688, 0.14, -0.10, 0.09, 0.44, -0.20, 0.01, 42.21
258083, 541283585, 546246702, -0.26, 1.01, 0.85, 0.43, -0.24, 0.06, 42.19
258084, 541285569, 546248686, 0.41, 1.17, -0.13, 0.23, -0.06, 0.04, 42.21
258085, 541287584, 546250701, 0.21, 0.46, 1.78, -0.07, 0.01, -0.01, 42.23
258086, 541289568, 546252685, 0.20, -0.50, 2.83, -0.28, -0.01, -0.05, 42.26
258087, 541291582, 546254699, -0.04, -1.03, 0.42, -0.29, 0.24, -0.06, 42.22
258088, 541293566, 546256683, -0.31, -1.01, 0.90, 0.17, -0.01, -0.01, 42.22
258089, 541295580, 546258697, 0.11, 0.03, 0.43, 0.52, -0.15, 0.05, 42.23
258090, 541297564, 546260681, -0.30, 0.99, 0.45, 0.42, -0.20, 0.09, 42.21
258091, 541299578, 546262695, 0.51, 1.37, 0.61, 0.18, -0.03, 0.02, 42.22
258092, 541301562, 546264679, 0.32, 0.42, 1.88, -0.14, -0.04, -0.04, 42.16
258093, 541303577, 546266694, 0.25, -0.59, 2.43, -0.23, -0.02, -0.09, 42.22
258094, 541305560, 546268677, -0.29, -1.07, 0.54, -0.25, 0.22, -0.09, 42.17
258095, 541307575, 546270692, -0.32, -1.00, 0.28, 0.22, 0.04, -0.03, 42.18
258096, 541309559, 546272676, 0.03, 0.20, 0.70, 0.52, -0.19, 0.04, 42.25
258097, 541311573, 546274690, -0.04, 0.86, 0.31, 0.39, -0.32, 0.10, 42.26
258098, 541313587, 546276704, 0.58, 1.30, 1.24, 0.14, -0.14, 0.06, 42.24
258099, 541315571, 546278688, 0.30, 0.31, 1.96, -0.16, -0.00, 0.02, 42.23
258100, 541317586, 546280703, 0.18, -0.52, 2.21, -0.17, 0.17, -0.03, 42.21
258101, 541319570, 546282687, -0.51, -1.02, 0.03, -0.19, 0.32, -0.07, 42.23
258102, 541321584, 546284701, -0.31, -0.77, 0.55, 0.24, 0.07, -0.08, 42.24
258103, 541323568, 546286685, -0.07, 0.29, 0.65, 0.46, -0.33, -0.04, 42.23
258104, 541325582, 546288699, 0.14, 0.67, 0.22, 0.38, -0.51, 0.01, 42.20
258105, 541327566, 546290683, 0.71, 1.19, 1.83, 0.15, -0.30, 0.03, 42.20
258106, 541329580, 546292697, 0.38, 0.18, 1.84, -0.15, 0.06, 0.04, 42.22
258107, 541331564, 546294681, 0.09, -0.44, 1.78, -0.19, 0.40, 0.02, 42.26
258108, 541333579, 546296696, -0.57, -0.91, 0.12, -0.13, 0.41, -0.01, 42.21
258109, 541335562, 546298679, -0.25, -0.60, 0.75, 0.26, 0.03, -0.04, 42.24
258110, 541337577, 546300694, -0.15, 0.25, 0.43, 0.41, -0.46, -0.02, 42.22
258111, 541339561, 546302678, 0.24, 0.69, 0.48, 0.36, -0.55, -0.00, 42.25
258112, 541341575, 546304692, 0.59, 0.97, 1.81, 0.17, -0.29, 0.00, 42.22
258113, 541343559, 546306676, 0.39, 0.23, 2.14, -0.12, 0.14, 0.01, 42.24
258114, 541345573, 546308690, -0.09, -0.50, 1.01, -0.22, 0.46, -0.02, 42.27
258115, 541347588, 546310705, -0.42, -0.89, 0.54, -0.09, 0.32, -0.04, 42.22
258116, 541349572, 546312689, -0.18, -0.48, 0.96, 0.26, -0.12, -0.05, 42.23
258117, 541351586, 546314703, -0.16, 0.18, 0.18, 0.40, -0.49, 0.00, 42.25
258118, 541353570, 546316687, 0.39, 0.74, 0.57, 0.38, -0.47, 0.04, 42.24
258119, 541355584, 546318701, 0.55, 0.85, 1.89, 0.14, -0.20, 0.05, 42.23
258120, 541357568, 546320685, 0.30, 0.27, 1.90, -0.13, 0.22, 0.04, 42.18
258121, 541359582, 546322699, -0.23, -0.37, 1.05, -0.23, 0.50, -0.02, 42.23
258122, 541361566, 546324683, -0.39, -0.92, 0.30, -0.01, 0.28, -0.07, 42.24
258123, 541363581, 546326698, -0.30, -0.40, 1.35, 0.26, -0.27, -0.09, 42.21
258124, 541365564, 546328681, -0.02, 0.12, -0.14, 0.35, -0.58, -0.05, 42.18
258125, 541367579, 546330696, 0.54, 0.64, 0.99, 0.38, -0.47, 0.01, 42.22
258126, 541369563, 546332680, 0.59, 0.66, 1.67, 0.14, -0.19, 0.07, 42.20
258127, 541371577, 546334694, 0.27, 0.16, 2.13, -0.12, 0.25, 0.10, 42.21
258128, 541373561, 546336678, -0.26, -0.28, 1.09, -0.22, 0.58, 0.04, 42.21
258129, 541375575, 546338692, -0.26, -0.72, -0.11, 0.03, 0.38, -0.04, 42.25
258130, 541377559, 546340676, -0.40, -0.15, 1.27, 0.31, -0.31, -0.08, 42.28
258131, 541379573, 546342690, -0.02, 0.22, -0.01, 0.36, -0.66, -0.09, 42.23
258132, 541381557, 546344674, 0.47, 0.56, 1.12, 0.31, -0.48, -0.06, 42.23
258133, 541383572, 546346689, 0.57, 0.40, 1.62, 0.06, -0.17, 0.02, 42.25
258134, 541385586, 546348703, 0.24, -0.14, 1.98, -0.13, 0.28, 0.08, 42.24
258135, 541387570, 546350687, -0.34, -0.36, 1.41, -0.16, 0.55, 0.06, 42.26
258136, 541389584, 546352701, -0.26, -0.65, -0.58, 0.07, 0.38, 0.01, 42.26
258137, 541391568, 546354685, -0.28, 0.13, 1.77, 0.36, -0.35, -0.03, 42.27
258138, 541393583, 546356700, 0.07, 0.34, -0.31, 0.37, -0.66, -0.05, 42.27
258139, 541395566, 546358683, 0.52, 0.69, 1.64, 0.26, -0.44, -0.05, 42.27
258140, 541397581, 546360698, 0.66, 0.36, 1.49, -0.02, -0.11, 0.01, 42.27
258141, 541399565, 546362682, 0.10, -0.33, 1.27, -0.12, 0.32, 0.05, 42.25
258142, 541401579, 546364696, -0.38, -0.48, 1.54, -0.08, 0.46, 0.03, 42.23
258143, 541403563, 546366680, -0.21, -0.63, -0.49, 0.07, 0.35, -0.01, 42.22
258144, 541405669, 546368786, -0.36, 0.19, 2.01, 0.35, -0.34, -0.03, 42.24
258145, 541407561, 546370678, 0.19, 0.39, -0.31, 0.38, -0.59, -0.04, 42.24
258146, 541409575, 546372692, 0.57, 0.87, 2.18, 0.24, -0.39, -0.03, 42.21
258147, 541411559, 546374676, 0.49, 0.29, 0.95, -0.05, -0.07, 0.03, 42.18
258148, 541413574, 546376691, 0.02, -0.26, 1.08, -0.10, 0.38, 0.05, 42.22
258149, 541415558, 546378675, -0.32, -0.51, 1.55, -0.05, 0.42, 0.03, 42.19
258150, 541417572, 546380689, -0.16, -0.57, -0.37, 0.02, 0.29, -0.02, 42.23
258151, 541419586, 546382703, -0.34, 0.12, 2.05, 0.33, -0.40, -0.03, 42.21
258152, 541421570, 546384687, 0.31, 0.26, -0.20, 0.40, -0.56, -0.04, 42.20
258153, 541423585, 546386702, 0.49, 0.74, 2.25, 0.25, -0.34, -0.02, 42.24
258154, 541425568, 546388685, 0.44, 0.34, 0.58, -0.06, 0.03, 0.03, 42.27
258155, 541427583, 546390700, -0.08, -0.23, 0.98, -0.09, 0.43, 0.03, 42.27
258156, 541429567, 546392684, -0.33, -0.43, 1.90, -0.02, 0.32, 0.01, 42.23
258157, 541431581, 546394698, -0.12, -0.46, -0.32, 0.05, 0.17, -0.04, 42.23
258158, 541433565, 546396682, -0.27, 0.15, 2.02, 0.35, -0.42, -0.04, 42.25
258159, 541435579, 546398696, 0.40, 0.13, -0.14, 0.39, -0.46, -0.03, 42.21
258160, 541437563, 546400680, 0.42, 0.71, 2.35, 0.18, -0.27, 0.01, 42.24
258161, 541439577, 546402694, 0.39, 0.22, 0.59, -0.06, 0.09, 0.06, 42.19
258162, 541441561, 546404678, -0.13, -0.30, 0.67, -0.07, 0.45, 0.04, 42.22
258163, 541443576, 546406693, -0.24, -0.44, 1.54, 0.02, 0.23, 0.01, 42.24
258164, 541445560, 546408677, -0.24, 0.14, 1.97, 0.35, -0.40, -0.04, 42.23
258165, 541447574, 546410691, 0.52, 0.34, -0.01, 0.41, -0.31, -0.05, 42.23
258166, 541449558, 546412675, 0.20, 0.68, 2.20, 0.15, -0.22, -0.01, 42.23
258167, 541451572, 546414689, 0.37, 0.15, 0.52, -0.05, 0.06, 0.03, 42.23
258168, 541453587, 546416704, -0.14, -0.41, 0.94, -0.09, 0.38, 0.02, 42.22
258169, 541455570, 546418687, -0.20, -0.62, 0.92, 0.03, 0.22, 0.02, 42.24
258170, 541457585, 546420702, -0.20, -0.24, 0.52, 0.13, 0.01, 0.00, 42.24
